GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
8600000US20105,20105,ZCTA5 20105,5070,170,4180,205,3672,219,890,154,1.4,1.1,0.3,0.5,0.0,0.9,6.5,6.0,1.3,1.0,0.3,0.5,0.0,0.9,6.2,5.4,1.5,1.1,0.9,1.1,1.0,1.3,4.4,3.0,1.8,1.0,2.2,1.3,1.7,1.3,1.8,2.1,4.0,1.6,2.7,1.5,1.1,0.9,8.7,5.2,7.6,2.3,5.6,2.4,4.1,2.3,19.3,8.4,9.9,2.8,8.2,3.0,7.1,2.9,17.5,7.6,29.3,4.4,30.3,5.4,30.1,5.5,24.2,9.6,19.0,3.5,22.5,4.3,24.1,4.4,5.2,4.7,24.1,4.2,27.1,4.7,30.9,5.3,6.3,4.9,141522,6349,149776,8661,159185,11507,82946,18444,150717,7435,162222,8052,N,N,93163,18965,27.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.1,(X)
8600000US20106,20106,ZCTA5 20106,2059,187,1570,165,1434,169,489,160,3.4,2.3,1.0,1.4,0.0,2.2,11.2,8.0,1.6,1.6,1.9,1.9,1.1,1.8,1.8,3.0,10.1,5.9,10.4,6.9,10.0,7.4,9.0,6.8,6.6,3.4,5.5,3.7,4.7,3.9,10.0,8.5,10.6,4.5,10.7,5.0,9.0,4.6,12.5,12.0,19.6,6.4,15.4,5.3,16.2,5.5,32.9,17.0,10.6,4.0,10.3,4.6,10.0,4.7,9.4,7.1,16.2,6.1,18.3,7.5,20.0,8.1,9.4,9.4,12.6,4.3,15.7,5.5,17.2,5.9,1.2,2.4,8.8,4.1,10.8,5.3,11.8,5.9,2.5,4.3,73113,9154,84038,18922,98750,29372,55860,8589,93756,9512,104052,12032,N,N,57979,12143,29.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X)
8600000US20109,20109,ZCTA5 20109,12914,365,8544,432,5381,405,4370,472,3.8,1.3,3.2,1.5,3.6,1.9,4.9,2.4,3.2,1.1,2.0,1.1,2.1,1.6,5.7,2.6,6.2,2.1,7.7,2.8,3.0,1.9,4.3,1.8,10.1,2.4,10.6,3.0,11.8,4.3,10.7,3.9,15.7,2.4,16.0,3.5,11.4,3.5,17.5,4.6,20.3,2.7,18.5,3.4,16.7,3.9,26.2,4.9,16.5,2.4,16.4,3.4,19.2,4.5,15.8,4.4,16.0,2.6,16.4,3.1,19.9,4.0,12.0,3.9,5.1,1.2,5.1,1.5,7.1,2.2,2.2,1.5,3.2,1.1,4.1,1.6,5.3,2.2,0.8,0.6,62106,3172,63266,3803,76325,7233,54139,2531,74166,3179,76107,3871,N,N,61855,4765,37.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),40.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X)
8600000US20110,20110,ZCTA5 20110,14069,272,10728,336,8497,420,3341,283,3.6,1.0,2.0,1.1,1.3,1.2,9.0,3.1,1.4,0.6,2.2,1.3,1.3,1.1,3.5,1.6,4.8,1.3,3.6,1.3,1.7,1.0,11.3,3.7,7.3,1.6,5.3,1.6,5.2,1.6,13.4,4.3,11.7,2.0,10.3,2.3,9.1,2.7,15.3,4.3,19.3,2.3,19.5,2.8,18.0,3.0,23.3,5.2,15.9,1.9,16.0,2.2,16.5,2.6,9.7,2.9,20.4,1.8,22.4,2.3,25.4,2.9,10.3,3.1,8.7,1.4,10.5,1.8,11.6,2.0,1.7,1.2,7.0,1.0,8.1,1.3,9.9,1.6,2.4,1.5,77669,3156,83048,3622,93992,5374,48119,6534,93797,3249,101279,3989,N,N,59593,5910,35.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.7,(X)
8600000US20111,20111,ZCTA5 20111,9782,193,7652,284,6034,341,2130,254,1.9,0.9,2.9,1.3,1.1,0.8,1.0,1.2,2.4,1.1,2.3,1.1,0.5,0.7,5.5,4.0,5.7,1.6,4.6,1.8,4.0,2.0,9.2,3.5,4.9,1.4,4.4,1.5,4.0,1.6,10.0,5.0,8.4,2.2,7.6,2.3,6.7,2.5,11.0,4.6,22.7,2.7,20.4,3.2,18.7,3.5,30.2,7.3,13.5,2.3,13.1,2.3,14.1,2.5,12.1,4.8,19.2,2.5,20.2,2.9,21.3,3.6,14.0,4.2,10.8,1.8,11.8,2.2,13.4,2.8,5.4,3.5,10.4,1.6,12.7,2.1,16.1,2.6,1.7,1.2,82283,5511,89312,7257,101156,4956,60068,4365,102982,3662,109253,4694,N,N,70562,5975,36.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
8600000US20112,20112,ZCTA5 20112,8068,196,7177,222,6445,247,891,147,0.6,0.4,0.4,0.3,0.1,0.1,2.5,2.4,0.3,0.2,0.1,0.1,0.1,0.2,1.8,1.9,1.1,0.6,0.6,0.4,0.5,0.5,5.5,3.9,2.0,0.8,2.0,1.1,1.5,0.9,5.2,3.4,5.1,1.6,4.3,1.6,2.6,1.2,7.1,3.7,8.0,1.9,7.2,2.0,6.3,1.9,15.2,5.3,10.5,2.2,9.7,2.2,9.6,2.2,18.9,6.2,28.2,3.5,28.4,3.4,28.2,3.5,26.8,8.6,20.9,2.4,22.3,2.6,23.9,2.7,8.0,4.5,23.4,2.6,25.0,2.9,27.2,3.2,9.2,5.2,137224,6767,144525,6573,151216,6245,91615,10843,153018,5765,158685,6237,N,N,100909,11740,31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.8,(X)
8600000US20115,20115,ZCTA5 20115,2282,214,1624,173,1399,172,658,175,2.8,2.2,1.2,1.1,1.1,1.2,7.6,7.3,2.5,2.0,0.2,0.4,0.0,2.3,8.7,6.9,7.4,4.8,5.6,4.3,4.9,4.2,11.7,12.7,5.9,2.8,5.9,3.8,4.1,3.6,5.2,4.4,9.2,4.8,4.2,2.3,4.9,2.6,21.6,13.4,13.5,3.9,13.0,4.9,11.2,5.2,20.1,9.8,13.1,3.9,12.0,3.6,11.4,4.0,10.5,8.6,21.5,5.7,27.3,7.0,27.9,7.5,8.1,5.8,10.3,3.6,13.2,4.9,14.6,5.7,1.2,1.7,13.8,3.5,17.2,5.1,20.0,6.2,5.5,4.8,88088,12309,108194,11494,119688,13909,46038,13367,128236,26152,153716,35501,N,N,63046,13677,32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X)
8600000US20117,20117,ZCTA5 20117,1085,162,649,154,563,148,436,102,4.1,3.4,0.0,4.9,0.0,5.6,10.1,8.1,2.0,1.8,0.5,0.7,0.0,5.6,4.4,4.2,4.0,2.0,2.5,2.1,1.4,1.3,6.2,4.3,2.7,1.6,2.2,2.0,0.4,0.7,4.4,3.1,15.1,7.5,7.4,6.3,6.9,6.6,26.6,13.3,18.7,7.0,16.6,8.5,16.5,9.3,20.9,10.8,3.7,2.5,3.7,3.3,4.3,3.8,3.7,3.3,21.0,7.3,23.9,10.3,22.7,11.1,16.7,9.3,14.9,9.2,24.0,14.4,25.9,16.3,1.4,1.6,13.8,6.2,19.3,9.3,21.8,10.7,5.7,5.4,96719,45861,127466,26402,137917,73624,46250,22988,128965,27499,166583,41332,N,N,72729,17496,39.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),43.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X)
8600000US20118,20118,ZCTA5 20118,2,3,2,3,2,3,0,12,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,100.0,100.0,100.0,100.0,100.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,0.0,100.0,0.0,100.0,0.0,100.0,-,**,-,**,-,**,-,**,-,**,N,N,N,N,N,N,-,**,100.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),100.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),-,(X)
