GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US20105,20105,ZCTA5 20105,16265,683,14682,730,7644,623,1692,373,42,39,4169,499,37,37,64,100,1034,294,102,103,932,284,1583,429,1190,389,0,19,0,19,51,66,0,19,134,123,208,115,128,98,80,69
8600000US20106,20106,ZCTA5 20106,5334,587,5273,579,4987,558,53,52,13,20,64,58,0,17,0,17,156,126,0,17,156,126,61,60,33,44,0,17,0,17,0,17,0,17,0,17,28,46,28,46,0,17
8600000US20109,20109,ZCTA5 20109,38360,1537,23709,1253,11589,847,6635,990,134,128,3551,733,0,25,161,111,1639,479,61,53,1578,480,14651,1113,10858,1175,335,219,111,145,19,21,0,25,2599,753,729,543,651,534,78,73
8600000US20110,20110,ZCTA5 20110,47975,732,32640,548,21718,468,6364,311,210,53,2611,284,51,67,163,145,1523,399,112,95,1411,379,15335,615,11718,1084,325,224,148,218,19,35,52,78,2673,816,400,248,286,220,114,91
8600000US20111,20111,ZCTA5 20111,34433,882,22766,732,15052,487,3270,495,13,21,3110,337,0,25,144,127,1177,335,0,25,1177,335,11667,716,8936,886,76,71,8,16,0,25,13,20,2145,681,489,318,215,155,274,252
8600000US20112,20112,ZCTA5 20112,26914,956,24142,912,18811,840,2731,575,126,170,1270,267,27,37,27,24,1150,387,0,22,1150,387,2772,462,2180,468,162,178,0,22,71,78,0,22,286,170,73,104,13,20,60,100
8600000US20115,20115,ZCTA5 20115,6485,603,6112,586,5299,621,546,230,0,17,103,72,0,17,0,17,164,106,0,17,164,106,373,217,259,228,0,17,0,17,0,17,0,17,70,71,44,64,26,36,18,29
8600000US20117,20117,ZCTA5 20117,2507,443,2372,454,1866,357,465,233,9,12,25,29,0,12,2,4,5,5,0,12,5,5,135,108,69,73,0,12,0,12,0,12,0,12,25,35,41,51,41,51,0,12
8600000US20118,20118,ZCTA5 20118,6,9,6,9,0,12,6,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
