zcta5,county14,county,cntyname2,zipname,hus10,afact
ZIP Census Tabulation Area,county14,county,Current County,zipname,"Total HUs, 2010 census",zcta5 to county14 alloc factor
20105,51107, ,Loudoun VA,"Stone Ridge, VA",3855,1
20106,51047, ,Culpeper VA,"Amissville, VA",1142,0.56
20106,51061, ,Fauquier VA,"Amissville, VA",81,0.04
20106,51157, ,Rappahannock VA,"Amissville, VA",817,0.4
20109,51153, ,Prince William VA,"Sudley, VA",13522,0.995
20109,51683, ,Manassas city VA,"Sudley, VA",62,0.005
20110,51153, ,Prince William VA,"Manassas, VA",1653,0.112
20110,51683, ,Manassas city VA,"Manassas, VA",13061,0.888
20111,51153, ,Prince William VA,"Manassas Park, VA",5170,0.513
20111,51685, ,Manassas Park city VA,"Manassas Park, VA",4904,0.487
20112,51153, ,Prince William VA,"Manassas, VA",8448,1
20115,51061, ,Fauquier VA,"Marshall, VA",2522,1
20117,51061, ,Fauquier VA,"Middleburg, VA",109,0.074
20117,51107, ,Loudoun VA,"Middleburg, VA",1360,0.926
20118,51107, ,Loudoun VA,"Middleburg, VA",3,1
20119,51061, ,Fauquier VA,"Catlett, VA",1515,1
20120,51059, ,Fairfax VA,"Centreville, VA",14210,1
20120,51107, ,Loudoun VA,"Centreville, VA",7,0
20121,51059, ,Fairfax VA,"Centreville, VA",10357,1
20124,51059, ,Fairfax VA,"Centreville, VA",5052,1
20129,51107, ,Loudoun VA,"Paeonian Springs, VA",216,1
20130,51043, ,Clarke VA,"Paris, VA",121,0.752
20130,51061, ,Fauquier VA,"Paris, VA",40,0.248
20132,51107, ,Loudoun VA,"Purcellville, VA",5466,1
20135,51043, ,Clarke VA,"Bluemont, VA",898,0.695
20135,51107, ,Loudoun VA,"Bluemont, VA",395,0.305
20136,51153, ,Prince William VA,"Linton Hall, VA",8483,1
20137,51061, ,Fauquier VA,"Broad Run, VA",414,0.714
20137,51153, ,Prince William VA,"Broad Run, VA",166,0.286
20139,51061, ,Fauquier VA,"Casanova, VA (PO Boxes)",100,1
20141,51107, ,Loudoun VA,"Round Hill, VA",2116,1
20143,51153, ,Prince William VA,"Catharpin, VA",408,1
20144,51061, ,Fauquier VA,"Delaplane, VA",496,1
20147,51107, ,Loudoun VA,"Ashburn, VA",19719,1
20148,51107, ,Loudoun VA,"Broadlands, VA",9170,1
20151,51059, ,Fairfax VA,"Chantilly, VA",6828,1
20152,51107, ,Loudoun VA,"South Riding, VA",7876,1
20155,51153, ,Prince William VA,"Gainesville, VA",10357,1
20158,51107, ,Loudoun VA,"Hamilton, VA",1588,1
20164,51107, ,Loudoun VA,"Sterling, VA",12565,1
20165,51107, ,Loudoun VA,"Cascades, VA",11774,1
20166,51107, ,Loudoun VA,"Dulles Town Center, VA",3464,1
20169,51153, ,Prince William VA,"Haymarket, VA",6746,1
20170,51059, ,Fairfax VA,"Herndon, VA",13713,1
20171,51059, ,Fairfax VA,"McNair, VA",16823,1
20175,51107, ,Loudoun VA,"Leesburg, VA",10083,1
20176,51107, ,Loudoun VA,"Leesburg, VA",16166,1
20180,51107, ,Loudoun VA,"Lovettsville, VA",2395,1
20181,51061, ,Fauquier VA,"Nokesville, VA",299,0.108
20181,51153, ,Prince William VA,"Nokesville, VA",2459,0.892
20184,51061, ,Fauquier VA,"Upperville, VA",265,0.563
20184,51107, ,Loudoun VA,"Upperville, VA",206,0.437
20186,51047, ,Culpeper VA,"Warrenton, VA",9,0.002
20186,51061, ,Fauquier VA,"Warrenton, VA",5968,0.998
20187,51061, ,Fauquier VA,"New Baltimore, VA",5343,1
20190,51059, ,Fairfax VA,"Reston, VA",9231,1
20191,51059, ,Fairfax VA,"Reston, VA",12071,1
20194,51059, ,Fairfax VA,"Reston, VA",5900,1
20197,51107, ,Loudoun VA,"Waterford, VA",661,1
20198,51061, ,Fauquier VA,"The Plains, VA",1229,1
22003,51059, ,Fairfax VA,"Annandale, VA",19923,1
22015,51059, ,Fairfax VA,"Burke, VA",15133,1
22025,51153, ,Prince William VA,"Montclair, VA",6235,1
22026,51153, ,Prince William VA,"Cherry Hill, VA",4737,1
22027,51059, ,Fairfax VA,"Dunn Loring, VA",781,1
22030,51059, ,Fairfax VA,"Fairfax, VA",12809,0.657
22030,51600, ,Fairfax city VA,"Fairfax, VA",6678,0.343
22031,51059, ,Fairfax VA,"Merrifield, VA",10421,0.865
22031,51600, ,Fairfax city VA,"Merrifield, VA",1627,0.135
22032,51059, ,Fairfax VA,"Kings Park West, VA",9634,0.963
22032,51600, ,Fairfax city VA,"Kings Park West, VA",375,0.037
22033,51059, ,Fairfax VA,"Fair Oaks, VA",16083,1
22039,51059, ,Fairfax VA,"Crosspointe, VA",6104,1
22041,51059, ,Fairfax VA,"Baileys Crossroads, VA",11174,1
22042,51059, ,Fairfax VA,"West Falls Church, VA",12404,0.993
22042,51610, ,Falls Church city VA,"West Falls Church, VA",91,0.007
22043,51059, ,Fairfax VA,"Idylwood, VA",9767,1
