ZCTA,hus10,afact
23015,23.0,0.014
24521,111.0,0.023
23192,121.0,0.045
23102,110.0,0.1
23038,182.0,0.2
24553,271.0,0.28
24562,64.0,0.291
24599,143.0,0.433
23065,351.0,0.433
22942,2152.0,0.5529999999999999
22923,1284.0,0.659
24590,2631.0,0.741
23084,591.0,0.762
23117,4323.0,0.818
23024,3440.0,0.823
22967,1227.0,0.903
22958,2759.0,0.941
22922,909.0,0.945
23093,5525.0,0.949
22973,2750.0,0.969
22920,1978.0,0.9910000000000001
23055,375.0,1.0
22932,3129.0,1.0
22931,203.0,1.0
22943,219.0,1.0
22911,7055.0,1.0
24464,213.0,1.0
22904,14.0,1.0
22903,16133.0,1.0
22902,9921.0,1.0
24581,27.0,1.0
22935,417.0,1.0
22936,2001.0,1.0
23022,459.0,1.0
22937,680.0,1.0
22976,214.0,1.0
22974,1715.0,1.0
22971,873.0,1.0
22969,706.0,1.0
22968,3792.0,1.0
22938,701.0,1.0
22964,127.0,1.0
22963,6489.0,1.0
22959,705.0,1.0
22949,655.0,1.0
22947,1931.0,1.0
22946,111.0,1.0
22940,504.0,1.0
22901,15139.0,1.0
22952,,
24483,,
